Nr_tabeli;Nazwa_tabeli;Kraj;Rok;Powierzchnia [km2];Ludnoœæ [tys.]       ;PKB [mln euro05];Pozyskanie_energii_pierwotnej [ktoe] ;Zu¿ycie_krajowe_energii_pierwotnej (= Zu¿ycie_krajowe_energii_brutto) [ktoe];Energoch³onnoœæ_pierwotna_PKB [toe/mln euro05];Import_netto [ktoe];Zu¿ycie_koñcowe_energii [ktoe];Zu¿ycie_koñcowe_energii/mieszkañca [toe/miesz.];Zu¿ycie_koñcowe_energii/ gospodarstwo_domowe [toe/gosp. dom.];Energoch³onnoœæ_finalna_PKB [toe/mln euro05];Zale¿noœæ_energetyczna (= Import_netto_energii / (Zu¿ycie_krajowe_energii_pierwotnej + Bunkier_morski)) [%];Produkcja_energii_elektrycznej [ktoe];Produkcja_energii_elektrycznej_z_OZE [ktoe];Zu¿ycie_krajowe_energii_elektrycznej [ktoe];Zu¿ycie_koñcowe_energii_elektrycznej [ktoe];Zu¿ycie_energii_elektrycznej/mieszkañca [toe/miesz.];Elektroch³onnoœæ_PKB [toe/mln euro05];Zu¿ycie_energii_elektrycznej/gospodarstwo_domowe [toe/gosp. dom.];Zale¿noœæ_elektroenergetyczna (= Import_netto_energii_elektrycznej/Zu¿ycie_krajowe_energii_elektrycznej) [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_elektroenergetyce [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_ciep³ownictwie_i_ch³odnictwie [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_transporcie [%];GHG (w_ekwiwalencie_CO2) [Tg];Emisja_CO2 [Tg];Emisja_CO2/produkcja_energii_elektrycznej [Gg/ktoe];Emisja_CO2/mieszkañca [Mg/miesz.] 
1;Polska i Unia Europejska - wybrane dane;Francja;2015;633187;66760;1932222;136699;252615;131;116843;144123;2,16;4,98;74,59;45,96;48878;8057;43370;36537;0,65;22,45;1,50;-12,70;15,18;18,76;19,77;8,52;474,61;353,90;7,24;5,30
1;Polska i Unia Europejska - wybrane dane;Grecja;2015;132049;10784;160451;8473;24449;152;18812;16502;1,53;3,77;102,85;71,71;4460;1167;5287;4367;0,49;32,95;1,21;15,63;15,44;22,09;25,90;1,43;98,61;77,83;17,45;7,22
1;Polska i Unia Europejska - wybrane dane;Hiszpania;2015;505944;46440;971696;33441;121418;125;94428;80461;1,73;4,38;82,80;73,29;24163;8818;24152;19952;0,52;24,86;1,31;-0,05;16,15;36,94;16,78;1,75;350,40;286,35;11,85;6,17
1;Polska i Unia Europejska - wybrane dane;Holandia;2015;41540;16979;605222;47593;77557;128;46785;48505;2,86;6,36;80,14;52,06;9464;1132;10217;8866;0,60;16,88;1,34;7,36;5,84;11,08;5,52;5,27;206,71;176,70;18,67;10,41
1;Polska i Unia Europejska - wybrane dane;Irlandia;2015;69797;4725;250983;1912;14178;56;12716;11214;2,37;6,55;44,68;88,70;2441;625;2499;2156;0,53;9,96;1,46;2,31;9,16;25,25;6,41;6,48;62,43;40,92;16,76;8,66
1;Polska i Unia Europejska - wybrane dane;Litwa;2015;65286;2889;26806;1585;6913;258;5482;4869;1,69;3,66;181,63;78,42;424;153;1044;803;0,36;38,94;0,78;59,36;25,75;15,55;46,09;4,56;20,34;13,39;31,56;4,63
1;Polska i Unia Europejska - wybrane dane;Luksemburg;2015;2586;576;39048;147;4177;107;4007;3988;6,92;17,41;102,14;95,93;238;37;719;535;1,25;18,41;3,14;66,97;4,99;6,18;6,90;6,49;11,68;10,71;45,08;18,58
1;Polska i Unia Europejska - wybrane dane;£otwa;2015;64573;1969;15939;2338;4380;275;2370;3788;1,92;4,55;237,63;51,16;476;330;632;556;0,32;39,68;0,76;24,76;37,56;52,24;51,78;3,92;11,65;7,58;15,94;3,85
1;Polska i Unia Europejska - wybrane dane;Malta;2015;315;434;7163;15;756;105;2230;572;1,32;3,78;79,89;97,29;112;9;203;182;0,47;28,28;1,34;44,72;5,00;4,25;14,13;4,67;2,58;2,11;18,81;4,85
1;Polska i Unia Europejska - wybrane dane;Niemcy;2015;357376;82176;2655836;119770;314203;118;196015;212124;2,58;5,27;79,87;61,91;55622;15657;51471;44259;0,63;19,38;1,28;-8,07;14,59;30,72;12,85;6,83;926,48;816,37;14,68;9,93
1;Polska i Unia Europejska - wybrane dane;Polska;2015;312679;37967;360581;67347;95434;265;28021;62251;1,64;4,41;172,64;29,30;14183;1894;14154;10991;0,37;39,25;1,00;-0,20;11,78;13,43;14,27;6,44;387,73;312,51;22,03;8,23
1;Polska i Unia Europejska - wybrane dane;Portugalia;2015;92226;10341;156544;5304;22997;147;18300;16038;1,55;3,93;102,45;77,42;4507;2423;4702;3939;0,45;30,04;1,15;4,14;27,99;52,63;33,36;7,38;72,09;55,33;12,28;5,35
1;Polska i Unia Europejska - wybrane dane;Rumunia;2015;238391;19760;104530;26656;32414;310;5541;21893;1,11;2,93;209,44;17,07;5700;2197;5122;3700;0,26;49,00;0,69;-11,29;24,79;43,16;25,89;5,49;117,81;79,39;13,93;4,02
1;Polska i Unia Europejska - wybrane dane;S³owacja;2015;49035;5426;56165;6320;16426;292;9642;10077;1,86;5,46;179,42;58,70;2313;565;2519;2096;0,46;44,84;1,36;8,15;12,88;22,66;10,79;8,50;41,42;33,96;14,68;6,26
1;Polska i Unia Europejska - wybrane dane;S³owenia;2015;20273;2064;32487;3391;6579;203;3233;4689;2,27;5,31;144,33;48,68;1298;416;1294;1100;0,63;39,84;1,47;-0,32;21,96;32,73;34,07;2,24;16,91;13,67;10,53;6,62
1;Polska i Unia Europejska - wybrane dane;Szwecja;2015;438574;9851;376620;33643;45474;121;14240;31759;3,22;6,23;84,33;30,11;13935;7878;11991;10736;1,22;31,84;2,35;-16,21;53,93;65,76;68,65;23,96;55,89;45,51;3,27;4,62
1;Polska i Unia Europejska - wybrane dane;Wêgry;2015;93011;9830;98953;11188;25200;255;13454;17309;1,76;4,17;174,92;53,39;2609;276;3786;3112;0,39;38,26;0,91;31,09;14,47;7,30;21,27;6,22;61,64;47,32;18,14;4,81
1;Polska i Unia Europejska - wybrane dane;Wielka Brytania;2015;248536;65383;2284965;118274;190745;83;72194;131370;2,01;4,65;57,49;37,37;29157;6869;30957;26040;0,47;13,55;1,10;5,82;8,23;22,36;5,53;4,45;536,90;446,21;15,30;6,82
